username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
antsoko22,"New-Associatiste.  Lecteur du code civil et du code des sociétés. Macroniste, LaREM compatible.
Emmerdeur aux heures pleines !","Neuilly-sur-Seine, France",615,1447,14145,2013-04-10 09:54:40,2021-01-13 12:39:59,34,"🗣L’application #TousAntiCovid permet quotidiennement de :

✔️Suivre l’évolution de l’épidémie #COVID19 
✔️Se signaler si vous est contaminé 

Et maintenant de suivre l’évolution de la campagne de #vaccination  

Installez-la vous aussi : 
https://t.co/Fp4Dweg7ES https://t.co/wIUalMtZQI","[{'text': 'TousAntiCovid', 'indices': [35, 49]}, {'text': 'COVID19', 'indices': [114, 122]}]"
DnsRomain,,,62,4,64,2018-07-28 10:33:34,2021-01-13 12:39:52,1,"@pvnova Et imagine le résultat quand tu seras vacciné, les suggestions seront encore plus pertinentes ! 👍 #vaccincovid #5G #complotistes","[{'text': 'vaccincovid', 'indices': [106, 118]}, {'text': '5G', 'indices': [119, 122]}, {'text': 'complotistes', 'indices': [123, 136]}]"
evksola,Senior - Contre la culture de l'excuse,,339,324,42947,2014-07-20 12:18:22,2021-01-13 12:39:49,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
evksola,Senior - Contre la culture de l'excuse,,339,324,42947,2014-07-20 12:18:22,2021-01-13 12:39:47,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
misterbius,🇨🇭-🇮🇹|@OfficialASRoma🔴🟡,"Genève, Suisse",150,238,106619,2014-01-03 16:27:04,2021-01-13 12:39:44,5,"Alors que les campagnes de #vaccination ont démarré depuis quelques semaines, une enquête menée par @IpsosGlobal et le @wef montre que l'intention de se faire vacciner contre le #COVID19 est en baisse dans de nombreux pays à travers le monde : https://t.co/WfOnBIhL2v https://t.co/Fs07NrN8xK","[{'text': 'vaccination', 'indices': [44, 56]}]"
Adenosaure,"Humain 1.0 , pas trop curieux.
Petit coup d'oeil vite fait entre le boson de higgs et le centre des trous noirs...........
criminologue depuis l'affaire Caïn.",France,2126,57,278,2020-08-20 22:10:36,2021-01-13 12:39:24,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
Maireinfo2,"Maire info, newsletter quotidienne d'information à destination des élus et des collectivités. Éditée par l'#AMF. #collterr #maires #communes","Paris, France",534,2643,2889,2018-06-14 09:29:51,2021-01-13 12:39:16,1,"#Vaccination, restauration, stations de ski, universités : le @gouvernementFR répond aux députés. Compte-rendu des échanges dans @Maireinfo2 ➡️ https://t.co/iW1yZZaC1d","[{'text': 'Vaccination', 'indices': [0, 12]}]"
NicoleMINA5,,,161,59,1449,2017-01-29 17:36:50,2021-01-13 12:39:14,613,"Début de #vaccination raté : #Macron foudroie #Veran dans les médias, mais lui envoie en coulisse un sms d’encouragement : “On les aura, ces connards”. 
Tout est dit !

src : Le Point

https://t.co/S47FYRYCvC","[{'text': 'vaccination', 'indices': [29, 41]}, {'text': 'Macron', 'indices': [49, 56]}, {'text': 'Veran', 'indices': [66, 72]}]"
SoniaSueEllen,L'ouverture d'esprit n'est pas une fracture du crâne !,"Paris, France",110,61,1756,2010-01-29 23:23:47,2021-01-13 12:38:51,16,Des nouvelles de Mauricette ? #vaccination,"[{'text': 'vaccination', 'indices': [42, 54]}]"
JoanSeguraOlle,Cirurgià Vascular,Barcelona / Tarragona,383,110,776,2010-01-21 20:36:49,2021-01-13 12:38:36,6,"💉#vaccincovid #cooperation #transfrontalier #hopital

La #vaccinationCovid s'organise dans l'espace #transfrontalier catalan à l'@HospiCerdanya où les personnels français 👨‍⚕️👩‍⚕️ ont été vaccinés. 
@ChPerpignan @ARS_OC  @MinSoliSante @salutcat 

#Avancem #Tenirensemble https://t.co/M5DUPc2Zrk","[{'text': 'vaccincovid', 'indices': [18, 30]}, {'text': 'cooperation', 'indices': [31, 43]}, {'text': 'transfrontalier', 'indices': [44, 60]}, {'text': 'hopital', 'indices': [61, 69]}, {'text': 'vaccinationCovid', 'indices': [74, 91]}, {'text': 'transfrontalier', 'indices': [117, 133]}]"
PraxmarerV,, France,380,72,1873,2020-02-12 10:06:08,2021-01-13 12:38:31,137,"🇫🇷 #Coronavirus #Covid_19 #SARS_COV_2
1ers cas le 24 janvier 2020

- #OMS déclare la #Pandemie 11 mars 2020

🇩🇪 Allemagne 🇩🇪
Le 2 Novembre 2019
1600 Millions de flacons, en verres spéciaux, sont fabriqués pour #Pfizer
@cab2626","[{'text': 'Coronavirus', 'indices': [21, 33]}, {'text': 'Covid_19', 'indices': [34, 43]}, {'text': 'SARS_COV_2', 'indices': [44, 55]}, {'text': 'OMS', 'indices': [87, 91]}, {'text': 'Pandemie', 'indices': [103, 112]}]"
aka_naj,,,121,34,3293,2019-10-13 19:22:07,2021-01-13 12:38:31,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
IbarraAngelicaM,Journalisme▪#Digital #Innovation #FrenchTech #Immobilier #ComPol #France #AmLat | Periodismo #Francia #LatAm▪Alumni @ESCPeurope ▪#LaREM #Levallois #LaREM92 🇪🇺,"Levallois-Perret, France",4996,2261,74316,2013-04-23 22:13:40,2021-01-13 12:38:28,13,"Suite à un échange hier avec @Prefet92, le dossier du centre de #vaccination de @villelevallois, incomplet jusqu’à hier soir, n’a pas pu être pris en compte pour la 1e vague. 

Prometteur, ce dossier sera étudié pour la prochaine vague, qui aura lieu dans quelques jours. https://t.co/TPnegwjSVz","[{'text': 'vaccination', 'indices': [82, 94]}]"
NicoKluger,Ancien externe des hôpitaux qui n’existent plus•Dermato•🇫🇮 @HUS_uutisoi @Helsinkiuni @AavaLk•🇫🇷 @hopitalbichat•avant @CHU_Montpellier•@SFSHPeau,Helsinki,1033,3149,31029,2013-08-29 11:42:21,2021-01-13 12:38:11,35,#Vaccination | Quelles étapes pour la campagne de vaccination contre la #COVID19 ? ⤵,"[{'text': 'Vaccination', 'indices': [18, 30]}, {'text': 'COVID19', 'indices': [90, 98]}]"
thierry_legac,Chevalier ds ordre des Palmes académiques. Maire adjoint #Asnières. Correspondant défense.Candidat UMP pour majorité départementale en 2011. #LR #OLF,Asnières-sur-Seine,1053,1164,18485,2009-05-14 08:24:02,2021-01-13 12:38:02,5,"#Asnières choisie pour être centre de #vaccination. La reconnaissance de la qualité de notre action depuis le début de la crise sanitaire et de nos structures municipales de santé. Bravo à @MDoAeschlimann qui coordonne ce dispositif.
https://t.co/cHv0poNMmg","[{'text': 'Asnières', 'indices': [18, 27]}, {'text': 'vaccination', 'indices': [56, 68]}]"
guccuzi21,@LifeIDrill,on brule là,599,415,12302,2020-08-19 16:45:31,2021-01-13 12:37:57,27157,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
Adenosaure,"Humain 1.0 , pas trop curieux.
Petit coup d'oeil vite fait entre le boson de higgs et le centre des trous noirs...........
criminologue depuis l'affaire Caïn.",France,2126,57,278,2020-08-20 22:10:36,2021-01-13 12:37:55,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
CHU_Montpellier,"Le CHU M_ntpellier regr_upe 8 ét__lissements de s_in avec 3 missi_ns princip_les :  le #s_in, l_ #recherche et l'#enseignement. 

V_TRE S_NTE, N_TRE ENG_GEMENT","Montpellier, France",768,9057,5710,2011-09-26 10:05:32,2021-01-13 12:37:31,35,#Vaccination | Quelles étapes pour la campagne de vaccination contre la #COVID19 ? ⤵,"[{'text': 'Vaccination', 'indices': [18, 30]}, {'text': 'COVID19', 'indices': [90, 98]}]"
AR1info,"Bienvenue sur le compte twitter d’AR1, chaîne de jeunes passionnés par le journalisme sur YouTube • Informer, Décrypter, S'ouvrir sur le monde",,184,205,5130,2019-01-24 17:24:49,2021-01-13 12:37:28,0,"#vaccincovid &gt;
💉 Vladimir Poutine ordonne ""une vaccination de masse de toute la population russe à partir de la semaine prochaine"".

Lors d'une réunion de son gouvernement par visio-conférence, le maître du Kremlin a vanté le vaccin russe comme ""le meilleur du monde"".","[{'text': 'vaccincovid', 'indices': [0, 12]}]"
emmadauvergne,"Conseiller de Paris, Elue du 7ème arrondissement",,646,1247,7568,2012-04-06 11:25:51,2021-01-13 12:37:25,41,Le déploiement de centres de #vaccination dans les arrondissements est une priorité pour immuniser au plus vite les plus fragiles : j'ai demandé la conversion d'un équipement adapté au cœur du 7e @prefpolice @ars_idf https://t.co/oGpZ9HPXTL,"[{'text': 'vaccination', 'indices': [46, 58]}]"
stephanelevy925,,,2228,664,67974,2016-08-29 08:19:33,2021-01-13 12:37:22,7,"La campagne de #vaccination contre la #COVID19 s’accélère : dès aujourd’hui à Nancy et partout sur le territoire le 18 janvier, elle s’ouvrira à l’ensemble des personnes de plus de 75 ans 👉 https://t.co/RFZXLHsEBh","[{'text': 'vaccination', 'indices': [36, 48]}, {'text': 'COVID19', 'indices': [59, 67]}]"
Phmo91,,,96,46,10595,2020-03-02 20:32:30,2021-01-13 12:36:49,6,Les CDF s'engagent pour la #vaccination contre la #COVID19. Ils ont interpellé le Premier ministre et le ministère des Solidarités et de la Santé pour participer à l’effort de vaccination et obtenir rapidement une immunité collective.👉 https://t.co/NfWA12819G https://t.co/RFppMVwYab,"[{'text': 'vaccination', 'indices': [39, 51]}, {'text': 'COVID19', 'indices': [62, 70]}]"
F3Bourgogne,"Toute l'info minute par minute par la rédaction de France 3 Bourgogne. Retrouvez-nous sur https://t.co/ZQA2bIZzV8 , https://t.co/WnylO8UxpB",Dijon,277,22922,45036,2010-01-14 21:48:46,2021-01-13 12:36:40,0,La #vaccination des pompiers contre la #COVID19 a débuté en Bourgogne 🚒👩‍🚒 ►https://t.co/adRT1uLlKI https://t.co/NLxgnF6SR8,"[{'text': 'vaccination', 'indices': [3, 15]}, {'text': 'COVID19', 'indices': [39, 47]}]"
vidzolak,polak prv,𝐓𝐰𝐢𝐧𝐬 𝐭𝐨𝐰𝐞𝐫 ,76,190,260,2020-11-02 21:30:52,2021-01-13 12:36:16,27157,🔴 URGENT - TOUS LES ÉTABLISSEMENTS SCOLAIRES FERMÉS EN FRANCE À PARTIR DE LUNDI JUSQU'À NOUVEL ORDRE. #Covid_19 #macron20h,"[{'text': 'Covid_19', 'indices': [118, 127]}, {'text': 'macron20h', 'indices': [128, 138]}]"
MadinServDom,"MADIN' SERV DOM est une association qui regroupe des PRO du services à la personne, afin de pouvoir satisfaire au mieux le maintien à domicile en  #Martinique",Martinique,188,134,589,2017-05-14 05:37:14,2021-01-13 12:36:10,12,"[#VACCINATION] 💉
Pour @FAMSynerpa, les #EHPAD sont prêts à élargir les publics vaccinés 👉 ""Cela permettrait de protéger l'écosystème. (...) Pour envisager enfin que l'EHPAD reprenne une vie normale.""
+ de détails dans cet article @Le_Figaro 👉 https://t.co/g68ykJjS0s","[{'text': 'VACCINATION', 'indices': [17, 29]}, {'text': 'EHPAD', 'indices': [55, 61]}]"
gogolewski2,"La création est un Art de vivre. Donc j'ai une vie artistique unique. L'humain est créatif. Donc, je suis humain. Conclusion: l'humanité peut être belle à vivre","Lille, France",473,159,18635,2017-04-23 10:32:23,2021-01-13 12:36:05,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
elamaille,,"Marne, Champagne-Ardenne",471,575,5781,2013-04-06 16:35:12,2021-01-13 12:36:04,49,"Pour que les mobilités ne soient pas un frein à la #Vaccination 
Je proposerai aux élus de la @regiongrandest de se prononcer sur les soutiens suivants: https://t.co/fi74dy68Xm","[{'text': 'Vaccination', 'indices': [68, 80]}]"
diversdiscussio,"cherche gauche non communautariste et pour la justice sociale. Marre des bien-pensants et de leurs leçons de morale .
@starkindustry sur Parler",,4239,1700,138156,2013-12-30 11:08:20,2021-01-13 12:35:55,1,Russie : #Poutine décrète une #vaccination de masse contre le Covid à partir de la semaine prochaine https://t.co/dXtzTIxUrn https://t.co/pB7Izq8vBO,"[{'text': 'Poutine', 'indices': [22, 30]}, {'text': 'vaccination', 'indices': [43, 55]}]"
FlorianLemaitr5,"Assistant professor in Pharmacology. IATDMCT and SFPT friendly. Dosage means nothing, only concentration matters.",,197,509,3129,2017-08-27 12:53:05,2021-01-13 12:35:54,2,"Campagne info #vaccination anti-#COVID19 du @CHURennes et @UnivRennes1
[Episode 7] 
Dr Polard fait le point sur la pharmacovigilance des #vaccincovid19 💉
@ArsBretagne
@URPSMLB
@URPS_Pharma_BZH
@ordre_medecins 
@ansm 
@Reseau_CRPV 
@PharmacoRennes 
https://t.co/3db99lPGJs","[{'text': 'vaccination', 'indices': [29, 41]}, {'text': 'COVID19', 'indices': [47, 55]}]"
Valerie59929705,,Nancy,519,32,4272,2018-05-09 00:36:28,2021-01-13 12:35:51,7,"[#Covid19] Lancement ce matin de la campagne de #vaccination pour les personnes de plus de 75 ans sur le territoire du @Grand_Nancy.
Dès le 18 janvier, des lieux de vaccination seront accessibles sur tout le département. https://t.co/R0I9zAES7d","[{'text': 'Covid19', 'indices': [15, 23]}, {'text': 'vaccination', 'indices': [62, 74]}]"
elamaille,,"Marne, Champagne-Ardenne",471,575,5781,2013-04-06 16:35:12,2021-01-13 12:35:48,17,.@JeanRottner et la @MajoriteGE ont comme priorité n°1 la lutte contre le #COVID19 et la #CriseSanitaire. Nous facilitons l'accès à la #vaccination grâce aux #transports régionaux #TER #GrandEst @FluoGrandEst @TERGrandEst https://t.co/wS7MNDvqNV,"[{'text': 'COVID19', 'indices': [90, 98]}, {'text': 'CriseSanitaire', 'indices': [105, 120]}]"
MGENCalvados,Bienvenue sur le site de la Section Mgen du Calvados. 15 personnes sont là pour vous accueillir.,HEROUVILLE SAINT CLAIR,93,341,1102,2012-09-27 15:34:10,2021-01-13 12:35:28,18,"#MobilisésContreLaCovid Partisan historique et assumé de la vaccination, le mouvement mutualiste prendra toute sa part dans la mise en œuvre de la #vaccination des Français. #JeMeFaisVacciner #PourNousProtégerJeMeFaisVacciner https://t.co/irDUnXNUt6","[{'text': 'MobilisésContreLaCovid', 'indices': [18, 41]}]"
ReinaSasou,"𝓣𝓻𝓮𝓪𝓽 𝓶𝓮 𝓵𝓲𝓴𝓮 𝓪 𝓰𝓪𝓶𝓮, 𝓪𝓷𝓭 𝓲’𝓵𝓵 𝓼𝓱𝓸𝔀 𝔂𝓸𝓾 𝓱𝓸𝔀 𝓲𝓽’𝓼 𝓹𝓵𝓪𝔂𝓮𝓭.😈",,24,0,6,2019-09-03 20:16:01,2021-01-13 12:35:13,0,Confinement pendant 4 jrs 😥 depuis le 14/01/2021 😥#tunisie #confinement #Covid_19 #تونس,"[{'text': 'tunisie', 'indices': [50, 58]}, {'text': 'confinement', 'indices': [59, 71]}, {'text': 'Covid_19', 'indices': [72, 81]}, {'text': 'تونس', 'indices': [82, 87]}]"
Younout2,,,45,9,120,2020-11-17 10:05:41,2021-01-13 12:35:05,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
MoserJeanF,"🕊🇵🇸🇲🇷🇪🇸🇫🇷, ex-fumeur à perpétuité, cancre, myope ; i love🐝🍯😺. Cosina 💃, Couscous et Thé 🇲🇦, Caffè e Gelato 🇮🇹. Formation Hôtelière {Stand-By}","Genève, Suisse",49,57,4345,2013-12-13 21:37:09,2021-01-13 12:34:55,1,#santepubliquefrance a livré des aiguilles pr Intra-Veineuses au lieu d’intra-Musculaires dans les kits à Vaccin Anti-Covid!! Incroyable. Nous sommes gérés par des incapables! #vaccinations #vaccincovid #COVID19 @Drmartyufml @MartinBlachier merci https://t.co/ffxkDCG7FE,"[{'text': 'santepubliquefrance', 'indices': [18, 38]}]"
Vivienk62029434,,,154,2,635,2020-05-14 22:22:37,2021-01-13 12:34:52,5,"Alors que les campagnes de #vaccination ont démarré depuis quelques semaines, une enquête menée par @IpsosGlobal et le @wef montre que l'intention de se faire vacciner contre le #COVID19 est en baisse dans de nombreux pays à travers le monde : https://t.co/WfOnBIhL2v https://t.co/Fs07NrN8xK","[{'text': 'vaccination', 'indices': [44, 56]}]"
emanueLANDREAU,"Twitter d' Emmanuel Landreau
Délégué du Parti politique LES CENTRISTES ville de Cannes ( 06400)
0651796426","Cannes, France",200,150,3632,2016-04-18 18:36:26,2021-01-13 12:34:43,9,"#Covid19 #Vaccination #Défense #Opex #PjlPrincipesRepublicains 
@Herve_Morin est aujourd'hui à 12h30 l'invité politique de @Rudy_Saada sur @RCJRADIO. https://t.co/iikS0XN6sn","[{'text': 'Covid19', 'indices': [20, 28]}, {'text': 'Vaccination', 'indices': [29, 41]}, {'text': 'Défense', 'indices': [42, 50]}, {'text': 'Opex', 'indices': [51, 56]}, {'text': 'PjlPrincipesRepublicains', 'indices': [57, 82]}]"
CTrivalle,#Gériatrie/#Geriatrics #SLD/Long term care #Prévention/prevention Hôpital public #Alzheimer Rédacteur en chef de NPG Mes tweets n'engagent pas la #CME de l'APHP,,3908,6253,70279,2010-06-14 17:27:41,2021-01-13 12:34:32,0,Miraculeusement nous avons réussi deux fois de suite à avoir 6 doses de vaccin ce matin avec le Comirnaty ! #Pfizer #COVID19 #vaccincovid,"[{'text': 'Pfizer', 'indices': [108, 115]}, {'text': 'COVID19', 'indices': [116, 124]}, {'text': 'vaccincovid', 'indices': [125, 137]}]"
Paysan473,Agriculteur du lot et Garonne! souvent bloqué par ceux qui n aime pas l acidité des ruraux !!,47 ,1830,1281,93405,2019-02-21 09:18:18,2021-01-13 12:34:26,97,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
menalahy,"I am a man  #ResisTeamFR RT n'est pas cautionner Pas de DM sauf URGENCE 
Insultes = Blocage garanti !",,4654,5277,345342,2012-02-12 10:15:29,2021-01-13 12:33:56,9,#Vaccination : Un échec indéniable qui risque de coûter très cher à @olivierveran. https://t.co/8M3TwsZLjc,"[{'text': 'Vaccination', 'indices': [15, 27]}]"
viralvideovlogs,"news news news and trends

https://t.co/2ScZqTGWgG",കേരളം,4573,5120,504242,2018-01-13 18:33:01,2021-01-13 12:33:51,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
solsarah1,,,483,229,7004,2012-12-04 16:30:15,2021-01-13 12:33:50,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
1Fo_Vox,"si fueris Rōmae, Rōmānō vīvitō mōre; si fueris alibī, vīvitō sicut ibi","France, Castello Di Romeo ITA",1584,2526,73867,2013-04-17 15:36:51,2021-01-13 12:33:46,1,Russie : #Poutine décrète une #vaccination de masse contre le Covid à partir de la semaine prochaine https://t.co/dXtzTIxUrn https://t.co/pB7Izq8vBO,"[{'text': 'Poutine', 'indices': [9, 17]}, {'text': 'vaccination', 'indices': [30, 42]}]"
julien0686,.,,636,390,70235,2015-02-22 20:28:09,2021-01-13 12:33:44,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
PorteTonEspoir,2007 Compte Facebook Partie 2009 Compte Twitter Sur le départ 2020 Compte Parler Arrivée,,1516,1676,61565,2009-09-27 11:45:06,2021-01-13 12:33:41,165,"Attention les images ci-dessous sont insoutenables
Nous sommes à Stockholm en pleine pandémie du #COVID19 
Les cadavres s'amoncèlent dans la rue, l'odeur est pestilentielle, tout ça parce qu'ils ont refusé le #confinement, le #portDuMasque, etc.

#Macron #vaccination #COVID https://t.co/pOKLBeClT6","[{'text': 'COVID19', 'indices': [114, 122]}]"
Ageficom,Le média économique et financier de référence pour la Suisse romande #Agefi #Agefidélité #70ans,Suisse,295,6290,21098,2012-11-23 13:40:02,2021-01-13 12:32:39,0,#covid_19: La Suisse aurait moins dépensé que ses voisins pour venir en aide à ses #entreprises. Le FMI met en garde contre une analyse simpliste de ses chiffres. https://t.co/KVnuPVolDy,"[{'text': 'covid_19', 'indices': [0, 9]}, {'text': 'entreprises', 'indices': [83, 95]}]"
LeProfesseursvt,Sciences & espace Pouvoirs publics,"Ile-de-France, France",1055,610,8912,2017-09-03 23:11:46,2021-01-13 12:32:22,84,"#Covid_19 Lycée classe de 38 élèves . Piscine en demi-groupe. Dans ce groupe : un cas confirmé. Il me semblerait logique et plus prudent de considérer, au moins, tout le groupe piscine, cas contact. Mais non, cas contact uniquement si symptômes. @jmblanquer ?! CC @stylos_les","[{'text': 'Covid_19', 'indices': [17, 26]}]"
92enmarche,Compte officiel de La République en Marche @enmarchefr dans les #HautsdeSeine avec @emmanuelmacron et la majorité présidentielle. 22 639 adhérents. #EM #LaREM,"Hauts-de-Seine, Ile-de-France",1565,3698,48293,2016-12-20 10:11:59,2021-01-13 12:32:13,13,"Suite à un échange hier avec @Prefet92, le dossier du centre de #vaccination de @villelevallois, incomplet jusqu’à hier soir, n’a pas pu être pris en compte pour la 1e vague. 

Prometteur, ce dossier sera étudié pour la prochaine vague, qui aura lieu dans quelques jours. https://t.co/TPnegwjSVz","[{'text': 'vaccination', 'indices': [82, 94]}]"
DidierPittet,Hand hygiene improves patient safety and saves lives. Let's make it universal together.,"Geneva, Switzerland",413,13262,17909,2013-03-26 13:16:30,2021-01-13 12:32:09,15,"👉 #Vaccination trop lente : aux élus de prendre la main ?

🗣 Le débat est lancé à partir de 10h dans #BrunetDirect.

📞 Donnez-moi votre avis en #DIRECT au 01.41.41.10.20 sur #La26.","[{'text': 'Vaccination', 'indices': [18, 30]}, {'text': 'BrunetDirect', 'indices': [117, 130]}]"
allcursesmatter,"🇨🇵

May I stand unshaken
Amid, amidst a crashing world ....",,821,663,2367,2020-06-16 10:34:46,2021-01-13 12:31:58,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
allcursesmatter,"🇨🇵

May I stand unshaken
Amid, amidst a crashing world ....",,821,663,2367,2020-06-16 10:34:46,2021-01-13 12:31:54,122,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
Mell_ange,,,232,86,2177,2017-12-04 05:56:18,2021-01-13 12:31:41,83,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
Francoisb29,,,54,40,84,2009-09-07 20:40:00,2021-01-13 12:31:30,82,"#COVID_19 Plus de 500 restaurants ont rouvert leurs portes hier à Mexico, désobéissant aux autorités de la capitale mexicaine qui avaient ordonné la suspension de leurs activités, face à l'augmentation des hospitalisations pour Covid-19. https://t.co/QLjfZCPqwo via @franceinfo","[{'text': 'COVID_19', 'indices': [20, 29]}]"
bonste,"Ingénieure Hospitalier / Génie Biologique /φchée fâchée mais pas facho / Insoumise🔻
La société française doit faire la place aux 99% qui ne sont pas riches!","Nice, France",1935,3247,93998,2009-06-24 15:26:14,2021-01-13 12:31:18,1,"On attend encore combien de jour pour reconnaître que le #CouvreFeu18h ne sert à rien dans les #AlpesMaritimes @cestrosi @JeanCASTEX  @olivierveran ?
La situation ne cesse de se dégrader alors que nous subissons cette mesure depuis presque 13jours!
#Covid_19 
#Nice06","[{'text': 'CouvreFeu18h', 'indices': [57, 70]}, {'text': 'AlpesMaritimes', 'indices': [95, 110]}, {'text': 'Covid_19', 'indices': [249, 258]}, {'text': 'Nice06', 'indices': [260, 267]}]"
